Table 1: n>6, FLOPS<600 (n  L  H  FLOPS)
 10   2    3     84
 10   2    4    120
 10   2    5    160
 10   2    6    204
 10   2    7    252
 10   2    8    304
 10   2    9    360
 10   2   10    420
 10   2   11    484
 10   2   12    552
 10   3    2     60
 10   3    3    102
 10   3    4    152
 10   3    5    210
 10   3    6    276
 10   3    7    350
 10   3    8    432
 10   3    9    522
 10   4    2     68
 10   4    3    120
 10   4    4    184
 10   4    5    260
 10   4    6    348
 10   4    7    448
 10   4    8    560
 10   5    2     76
 10   5    3    138
 10   5    4    216
 10   5    5    310
 10   5    6    420
 10   5    7    546
 10   6    2     84
 10   6    3    156
 10   6    4    248
 10   6    5    360
 10   6    6    492
 10   7    2     92
 10   7    3    174
 10   7    4    280
 10   7    5    410
 10   7    6    564
 10   8    2    100
 10   8    3    192
 10   8    4    312
 10   8    5    460
 10   9    2    108
 10   9    3    210
 10   9    4    344
 10   9    5    510
 10  10    2    116
 10  10    3    228
 10  10    4    376
 10  10    5    560
 10  11    2    124
 10  11    3    246
 10  11    4    408
 10  12    2    132
 10  12    3    264
 10  12    4    440
 10  13    2    140
 10  13    3    282
 10  13    4    472
 10  14    2    148
 10  14    3    300
 10  14    4    504
 10  15    2    156
 10  15    3    318
 10  15    4    536
 10  16    2    164
 10  16    3    336
 10  16    4    568
 10  17    2    172
 10  17    3    354
 10  18    2    180
 10  18    3    372
 10  19    2    188
 10  19    3    390
 10  20    2    196
 10  20    3    408
 10  21    2    204
 10  21    3    426
 10  22    2    212
 10  22    3    444
 10  23    2    220
 10  23    3    462
 10  24    2    228
 10  24    3    480
 10  25    2    236
 10  25    3    498
 10  26    2    244
 10  26    3    516
 10  27    2    252
 10  27    3    534
 10  28    2    260
 10  28    3    552
 10  29    2    268
 10  29    3    570
 10  30    2    276
 10  30    3    588
 10  31    2    284
 10  32    2    292
 10  33    2    300
 10  34    2    308
 10  35    2    316
 10  36    2    324
 10  37    2    332
 10  38    2    340
 10  39    2    348
 10  40    2    356
 10  41    2    364
 10  42    2    372
 10  43    2    380
 10  44    2    388
 10  45    2    396
 10  46    2    404
 10  47    2    412
 10  48    2    420
 10  49    2    428
 10  50    2    436
 10  51    2    444
 10  52    2    452
 10  53    2    460
 10  54    2    468
 10  55    2    476
 10  56    2    484
 10  57    2    492
